Ticker Symbol,Number of Anomalies,Predicted Total Revenue,Predicted Net Income,Predicted Total Assets,Predicted Earnings Per Share,Total Revenue Y1,Total Revenue Y2,Total Revenue Y3,Total Revenue Y4,Net Income Y1,Net Income Y2,Net Income Y3,Net Income Y4,Total Assets Y1,Total Assets Y2,Total Assets Y3,Total Assets Y4,Earnings Per Share Y1,Earnings Per Share Y2,Earnings Per Share Y3,Earnings Per Share Y4
AAL,0,45816185274.34836,9607380859.39983,54230796758.041595,9.77268357637798,24855000000.0,26743000000.0,42650000000.0,40990000000.0,-1876000000.0,-1834000000.0,2882000000.0,7610000000.0,23510000000.0,42278000000.0,43225000000.0,48415000000.0,-5.6,-11.25,4.02,11.39
ABBV,0,24328141730.121067,3383833217.638809,53907104414.44549,1.7832188985757775,18380000000.0,18790000000.0,19960000000.0,22859000000.0,5275000000.0,4128000000.0,1774000000.0,5144000000.0,27008000000.0,29198000000.0,27513000000.0,53050000000.0,2.58,2.58,1.11,3.15
ABT,0,20588697153.96545,3146177012.273258,41334455988.138824,3.5649767146569977,19050000000.0,19657000000.0,20247000000.0,20405000000.0,5963000000.0,2576000000.0,2284000000.0,4423000000.0,67235000000.0,42953000000.0,41207000000.0,41247000000.0,3.76,1.64,1.5,2.94
ADM,0,67438205014.88987,2245892164.9767995,41946582451.35025,2.812067504716033,90559000000.0,89804000000.0,81201000000.0,67702000000.0,1375000000.0,1342000000.0,2248000000.0,1849000000.0,45136000000.0,43752000000.0,43997000000.0,40157000000.0,2.99,2.03,3.44,2.99
ADS,1,7369505636.41581,653667483.3552686,25788280822.145134,9.226053668156336,3641390000.0,4319063000.0,5302940000.0,6439746000.0,422256000.0,496170000.0,506293000.0,596541000.0,12000139000.0,13244257000.0,20263977000.0,22421830000.0,8.44,10.09,8.72,8.91
AEE,1,6198400579.128573,352168883.0436554,23608657736.4311,2.77725017521721,5781000000.0,5838000000.0,6053000000.0,6098000000.0,-974000000.0,295000000.0,592000000.0,636000000.0,22230000000.0,21042000000.0,22289000000.0,23640000000.0,-4.01,1.19,2.42,2.6
AEP,1,16926493815.28718,2313978577.2639866,64100802853.40098,2.84079449169861,14945000000.0,14813500000.0,16378600000.0,16453200000.0,1259000000.0,1484200000.0,1638000000.0,2052300000.0,54367000000.0,56414000000.0,59544600000.0,61683100000.0,2.6,3.04,3.34,3.04
AFL,1,19809543480.003754,2486363791.064055,118272155633.64218,5.879996648168335,25364000000.0,23939000000.0,22728000000.0,20872000000.0,2866000000.0,3158000000.0,2951000000.0,2533000000.0,131094000000.0,121307000000.0,119767000000.0,118296000000.0,6.14,6.8,6.54,5.88
AIG,1,55438233683.85926,382460263.30153894,482428931342.80365,-1.15727170374063,71214000000.0,68874000000.0,64406000000.0,58327000000.0,3438000000.0,9085000000.0,7529000000.0,2196000000.0,548633000000.0,541329000000.0,515581000000.0,496943000000.0,5.27,6.16,5.27,1.69
AIV,0,982259377.5132732,236213148.14741293,6141818670.356068,1.1754890780647747,958511000.0,974053000.0,984363000.0,981310000.0,132456000.0,207290000.0,309249000.0,248710000.0,6401380000.0,6079413000.0,6097028000.0,6144194000.0,0.61,1.4,2.06,1.52
